CASE,QUESTNNR,MODE,STARTED,DE01,DE02,DE03,DE04,DEMO_4,DEMO_3,DEMO_6,DEMO_5,DEMO_9,DEMO_7,DEMO_7_1,DEMO_8,DEMO_8_1,DEMO_1,DEMO_2,BJC_01,BJC_02,BJC_03,BJC_04,BJC_05,BJC_06,BJC_07,BJC_08,BJC_09,BJC_10,BJC_11,BJC_12,STH_01,STH_02,STH_03,STH_04,STH_05,STH_06,STH_07,STH_08,MNC_01,VBC_01,VBC_02,VBC_03,VBC_04,VBC_05,VBC_06,VBC_07,VBC_08,VC_01,VC_02,group,identity_threat,religious_endorse,ATT_CHECK,BL_01,BL_02,BL_03,BL_04,BL_05,TIME001,TIME002,TIME003,TIME005,TIME006,TIME007,TIME008,TIME009,TIME010,TIME011,TIME012,TIME013,TIME014,TIME015,TIME_SUM,MAILSENT,LASTDATA,FINISHED,Q_VIEWER,LASTPAGE,MAXPAGE,MISSING,MISSREL,TIME_RSI,DEG_TIME
590,base,interview,7/5/2020 9:55,1,2,1,1,1,20,4,2,6,4,,6,SSemarang ,1,5,5,3,6,7,3,3,4,4,5,2,2,4,7,2,5,5,6,3,1,2,4,2,1,2,2,3,1,2,1,6,7,4,1,-1,4,3,3,4,3,3,19,19,78,10,58,,10,13,58,49,8,79,25,8,434,,7/5/2020 10:02,1,0,15,15,0,0,1.55,33
600,base,interview,7/5/2020 10:14,1,2,1,1,1,39,3.2,5,1,1,,1,,1,5,3,4,4,4,4,3,4,4,4,4,4,4,5,5,6,6,6,3,3,3,6,6,6,6,6,6,6,6,4,6,6,1,1,1,4,2,2,4,1,3,379,25,122,14,81,6,,12,84,49,13,126,36,31,634,,7/5/2020 10:30,1,0,15,15,0,0,1.02,15
602,base,interview,7/5/2020 10:17,1,2,1,1,2,19,6,2,6,1,,6,Sidoarjo,1,6,5,5,5,4,3,4,5,5,5,4,5,5,4,6,5,4,6,4,2,5,5,6,4,4,4,4,4,4,4,4,4,4,1,-1,4,2,1,3,3,3,15,15,63,12,42,,15,17,48,35,10,78,48,29,427,,7/5/2020 10:24,1,0,15,15,0,0,1.36,22
603,base,interview,7/5/2020 10:17,1,2,1,1,2,33,1,2,4,17,Indo,1,,1,3,4,4,4,6,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,4,3,3,3,3,3,22,18,156,100,64,77,,15,56,89,9,182,27,7,822,,7/5/2020 10:31,1,0,15,15,0,0,0.96,16
604,base,interview,7/5/2020 10:19,1,2,1,1,2,42,10,4,2,1,,6,Sidoarjo,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,5,5,5,1,1,1,1,1,4,1,3,4,3,3,102,23,83,21,49,19,,25,77,79,9,118,64,84,753,,7/5/2020 10:31,1,0,15,15,0,0,0.79,4
668,base,interview,7/5/2020 11:26,1,2,1,1,1,49,10,6,2,1,,2,,3,2,6,7,6,6,6,7,6,7,4,3,4,7,3,2,7,4,6,4,4,3,7,4,4,4,4,5,4,4,3,3,2,3,-1,1,4,1,5,5,3,5,140,20,130,,95,85,,61,91,52,22,106,36,76,851,,7/5/2020 11:42,1,0,15,15,0,0,0.57,0
676,base,interview,7/5/2020 11:36,1,2,1,1,1,31,7,5,2,1,,2,,1,3,7,7,7,6,5,7,6,6,6,4,5,7,2,2,6,2,4,5,2,2,4,7,3,3,3,3,3,3,3,5,5,2,-1,-1,4,2,3,4,4,4,17,10,51,,43,,23,11,43,17,5,69,27,70,386,,7/5/2020 11:43,1,0,15,15,0,0,1.47,26
679,base,interview,7/5/2020 12:04,1,2,1,1,1,20,4,2,6,1,,6,Bekasi,3,5,2,6,6,4,2,6,6,2,2,2,5,2,2,1,7,6,6,2,4,1,4,6,6,4,4,4,4,2,2,2,4,3,-1,1,4,3,4,4,3,4,22,11,97,,57,19,,8,50,30,8,79,26,21,428,,7/5/2020 12:11,1,0,15,15,0,0,1.26,13
680,base,interview,7/5/2020 12:07,1,2,1,1,2,32,6,2,2,2,,3,,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,3,-1,1,4,3,3,3,3,3,48,16,116,,43,13,,16,59,72,21,91,102,31,628,,7/5/2020 12:18,1,0,15,15,0,0,0.88,5
681,base,interview,7/5/2020 12:12,1,2,1,1,1,57,20,5,1,1,,1,,1,6,5,5,6,5,5,6,6,5,4,5,5,5,5,6,6,3,6,6,3,4,5,6,4,4,4,4,4,4,4,5,5,2,-1,-1,4,3,2,3,2,3,18,24,154,,89,,38,30,84,52,13,91,68,54,715,,7/5/2020 12:24,1,0,15,15,0,0,0.77,4
684,base,interview,7/5/2020 12:38,1,2,1,1,2,21,4,2,6,1,,6,Tanjungpinang,1,3,4,4,4,3,3,4,3,4,3,3,4,4,3,2,3,4,3,3,2,2,2,4,3,3,3,3,3,3,3,3,3,2,-1,-1,4,3,2,4,3,3,11,16,129,,132,,33,23,92,64,9,230,40,47,826,,7/5/2020 12:52,1,0,15,15,0,0,0.88,9
685,base,interview,7/5/2020 12:48,1,2,1,1,2,30,8,5,1,16,,5,,1,3,5,4,4,4,4,5,5,5,4,4,4,4,3,5,5,4,5,3,2,3,5,3,2,2,2,2,2,2,2,5,5,2,-1,-1,4,3,2,3,2,2,35,9,70,,142,,49,10,52,28,18,107,32,34,586,,7/5/2020 12:58,1,0,15,15,0,0,1.01,8
689,base,interview,7/5/2020 13:01,1,2,1,1,1,20,2,2,6,8,,6,Palembang,1,-1,3,5,7,7,7,6,7,7,6,6,6,6,7,7,7,7,7,7,7,7,6,7,5,6,5,6,5,5,6,6,5,4,1,-1,4,1,3,5,1,3,59,18,83,39,38,,10,19,44,54,6,67,36,11,484,,7/5/2020 13:09,1,0,15,15,0,0,1.32,22
698,base,interview,7/5/2020 13:19,1,2,1,1,2,50,20,2,4,1,,6,Sidoarjo,1,-1,4,2,4,5,2,2,3,2,2,2,2,3,6,3,7,4,4,6,1,1,1,1,1,1,1,1,1,1,1,7,7,3,-1,1,4,3,3,4,3,4,7,8,58,,117,5,,9,139,17,14,208,44,30,656,,7/5/2020 13:30,1,0,15,15,0,0,1.42,45
706,base,interview,7/5/2020 14:22,1,2,1,1,2,30,10,4,4,1,,1,,2,3,7,7,5,5,5,7,4,5,7,3,4,7,7,4,6,3,5,3,1,1,5,4,1,1,1,1,1,1,1,5,5,1,1,1,4,2,4,5,5,5,28,12,385,20,50,328,,13,87,36,6,121,14,30,824,,7/5/2020 14:41,1,0,15,15,0,0,1.06,11
720,base,interview,7/5/2020 15:25,1,2,1,1,2,21,3,2,6,1,,1,,1,1,4,4,2,4,3,2,3,5,2,2,2,2,1,2,4,1,1,1,1,1,1,2,2,2,1,1,2,1,1,5,5,2,-1,-1,4,3,2,4,2,3,85,28,116,,90,,134,16,56,50,9,108,53,34,675,,7/5/2020 15:38,1,0,15,15,0,0,0.72,0
723,base,interview,7/5/2020 15:41,1,2,1,1,2,21,10,2,4,1,,1,,1,1,2,2,5,3,5,5,4,4,1,3,4,2,6,7,7,3,6,1,1,1,2,3,2,1,1,2,1,2,1,4,4,4,1,-1,4,2,4,5,3,5,12,9,199,246,215,,12,10,142,120,6,65,21,45,887,,7/5/2020 16:00,1,0,15,15,0,0,1.14,21
725,base,interview,7/5/2020 15:49,1,2,1,1,2,32,7,5,2,1,,6,Tegal,1,6,3,4,3,3,3,3,3,3,3,3,3,3,3,4,3,5,5,3,1,2,6,4,-1,6,1,1,1,2,2,5,6,4,1,-1,4,3,1,3,1,3,13,15,38,7,78,,18,16,61,41,6,76,32,23,424,,7/5/2020 15:56,1,0,15,15,0,0,1.48,32
735,base,interview,7/5/2020 16:37,1,2,1,1,2,29,30,5,2,16,,2,,4,5,5,5,5,5,4,3,4,4,3,4,4,4,2,4,5,3,4,2,1,1,4,4,3,3,2,2,2,2,2,5,5,3,-1,1,4,2,2,2,2,2,8,11,50,,34,2,,22,54,16,5,24,8,3,237,,7/5/2020 16:41,1,0,15,15,0,0,2.16,137
736,base,interview,7/5/2020 16:45,1,2,1,1,2,58,3,4,4,1,,6,Sidoarjo,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,7,4,7,-1,-1,3,-1,1,4,1,5,5,5,5,28,29,188,,156,139,,16,322,131,16,527,112,169,1282,,7/5/2020 17:15,1,0,15,15,0,0,0.44,1
740,base,interview,7/5/2020 17:22,1,2,1,1,1,21,100,2,6,16,,2,,1,5,4,5,3,3,1,1,1,1,1,1,1,2,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,1,1,1,4,5,5,5,4,5,63,17,76,50,57,26,,5,30,33,5,84,20,38,504,,7/5/2020 17:31,1,0,15,15,0,0,1.24,17
742,base,interview,7/5/2020 17:55,1,2,1,1,2,33,20,5,6,1,,6,Semarang,2,5,6,7,7,6,7,7,7,7,7,6,7,7,7,1,6,7,7,7,1,6,2,2,5,5,5,5,5,5,5,1,1,1,1,1,4,1,4,4,2,3,175,14,79,17,54,34,,8,58,42,8,87,18,16,610,,7/5/2020 18:05,1,0,15,15,0,0,1.19,14
743,base,interview,7/5/2020 18:18,1,2,1,1,2,36,8,5,4,1,,1,,1,5,5,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,3,1,2,4,2,1,2,1,1,1,1,1,6,6,2,-1,-1,4,2,2,2,2,2,30,9,62,,71,,5,24,101,105,5,162,21,26,621,,7/5/2020 18:29,1,0,15,15,0,0,1.2,31
744,base,interview,7/5/2020 18:30,1,2,1,1,2,30,6,5,1,1,,1,,3,5,5,7,7,7,6,7,7,7,7,3,7,7,5,7,7,7,7,4,-1,2,6,7,3,5,6,6,3,6,2,4,4,3,-1,1,4,1,1,3,2,4,159,19,67,,71,31,,11,61,52,11,139,37,52,710,,7/5/2020 18:42,1,0,15,15,0,0,0.81,3
750,base,interview,7/5/2020 19:50,1,2,1,1,2,30,35,4,4,4,,1,,1,5,6,6,6,6,6,6,6,6,7,5,5,7,7,5,7,7,7,4,2,2,3,7,2,2,2,1,2,2,1,7,7,4,1,-1,4,3,4,5,1,2,176,13,98,53,53,,56,25,78,54,18,99,50,85,858,,7/5/2020 20:04,1,0,15,15,0,0,0.69,1
760,base,interview,7/5/2020 22:16,1,2,1,1,2,56,15,4,4,1,,1,,1,4,4,4,2,2,2,1,2,2,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,2,-1,-1,-1,7,7,2,-1,-1,4,5,5,5,4,4,2470,41,153,,74,,41,34,114,106,9,113,102,60,882,,7/5/2020 23:11,1,0,15,15,0,0,0.53,0
775,base,interview,7/6/2020 1:32,1,2,1,1,2,25,1,5,3,4,,6,SUMENEP,2,5,5,4,4,4,1,2,1,7,2,2,1,1,7,7,7,4,7,1,1,1,5,2,2,6,2,1,4,4,1,4,4,1,1,1,4,3,3,3,3,3,515,23,100,31,58,11,,13,67,26,8,127,68,98,665,,7/6/2020 1:51,1,0,15,15,0,0,0.9,7
777,base,interview,7/6/2020 1:55,1,2,1,1,2,42,6,5,1,1,,6,Samarinda,1,5,6,6,7,6,5,6,6,7,4,4,4,6,6,6,6,6,6,6,3,3,3,4,3,3,3,5,3,3,3,4,4,3,-1,1,4,3,2,4,3,3,126,15,99,,73,37,,13,70,52,9,121,31,9,655,,7/6/2020 2:06,1,0,15,15,0,0,0.99,10
780,base,interview,7/6/2020 2:46,1,2,1,1,2,32,15,4,4,1,,1,,2,4,5,4,5,4,5,5,5,6,5,1,6,5,7,6,7,7,7,4,7,4,1,7,7,7,7,4,4,5,7,2,2,2,-1,-1,2,2,3,5,3,4,18,11,74,,53,,27,7,47,73,9,57,55,4,435,,7/6/2020 2:53,1,0,15,15,0,0,1.37,42
783,base,interview,7/6/2020 3:29,1,2,1,1,2,32,5,4,4,3,,1,,3,5,6,6,6,1,1,6,7,6,1,1,1,6,1,3,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,4,1,-1,4,3,2,3,4,3,10,24,114,48,565,,5,7,32,119,7,49,178,20,674,,7/6/2020 3:49,1,0,15,15,0,0,1.3,41
790,base,interview,7/6/2020 4:10,1,2,1,1,1,21,5,2,6,1,,5,,3,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,4,1,-1,4,5,5,5,4,5,6,11,71,18,34,,6,20,36,32,7,93,73,49,456,,7/6/2020 4:17,1,0,15,15,0,0,1.45,46
791,base,interview,7/6/2020 4:15,1,2,1,1,1,21,20,4,2,1,,1,,1,4,5,5,5,3,3,2,3,4,1,2,2,3,3,5,5,2,3,2,1,2,1,3,2,3,2,3,3,5,1,7,7,2,-1,-1,4,4,4,4,4,4,21,14,72,,59,,21,7,47,35,5,49,31,20,381,,7/6/2020 4:22,1,0,15,15,0,0,1.4,20
792,base,interview,7/6/2020 4:22,1,2,1,1,2,30,15,5,3,1,,6,Gresik,3,5,7,6,7,5,3,5,7,7,6,6,6,7,2,2,5,7,7,3,5,3,5,6,4,5,5,5,5,6,3,2,3,1,1,1,4,2,2,3,4,4,42,26,91,24,114,21,,20,81,40,12,92,26,1921,620,,7/6/2020 5:04,1,0,15,15,0,0,0.82,3
793,base,interview,7/6/2020 4:40,1,2,1,1,1,20,4,2,6,1,,6,Batang,1,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,7,7,3,-1,1,4,5,5,5,5,5,96,28,194,,87,60,,45,102,111,13,206,97,156,1195,,7/6/2020 5:00,1,0,15,15,0,0,0.44,0
794,base,interview,7/6/2020 4:51,1,2,1,1,2,40,14,5,2,1,,6,Yogyakarta,2,5,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,7,1,1,1,4,5,5,5,5,5,50,9,95,23,92,19,,31,49,55,10,125,39,31,628,,7/6/2020 5:01,1,0,15,15,0,0,0.93,4
798,base,interview,7/6/2020 5:03,1,2,1,1,2,21,3,2,2,15,,1,,2,5,1,1,1,1,1,1,2,1,1,1,1,1,7,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,4,5,4,1,-1,4,4,4,5,4,3,6,5,68,37,67,,26,8,61,31,5,155,151,292,651,,7/6/2020 5:18,1,0,15,15,0,0,1.26,33
803,base,interview,7/6/2020 5:44,1,2,1,1,2,27,4.5,4,4,11,,6,Balikpapan,1,5,4,5,4,4,3,4,4,4,2,2,3,4,3,4,5,3,4,4,1,3,5,3,2,2,2,3,2,1,3,5,5,2,-1,-1,4,4,4,4,4,4,72,10,72,,75,,29,15,57,20,4,117,63,34,568,,7/6/2020 5:54,1,0,15,15,0,0,1.11,12
808,base,interview,7/6/2020 5:57,1,2,1,1,2,27,5,4,2,6,,6,Payakumbuh,2,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,7,7,3,-1,1,4,1,1,1,1,1,30,10,124,,55,30,,10,41,94,7,502,15,37,955,,7/6/2020 6:13,1,0,15,15,0,0,1.05,11
809,base,interview,7/6/2020 5:59,1,2,1,1,2,27,1.5,4,2,1,,6,Tulungagung,1,5,6,2,3,3,5,2,6,6,4,2,2,2,6,4,7,7,7,6,2,2,4,4,3,4,4,4,4,4,4,5,5,3,-1,1,4,2,1,3,1,3,17,21,82,,82,4,,8,105,41,9,120,97,9,595,,7/6/2020 6:09,1,0,15,15,0,0,1.32,37
810,base,interview,7/6/2020 6:01,1,2,1,1,2,36,5,5,1,1,,5,,1,1,3,3,2,2,2,1,2,2,1,1,1,2,1,1,2,1,1,1,1,1,1,2,1,2,1,1,1,1,1,7,7,3,-1,1,4,4,4,4,4,3,111,10,78,,53,35,,9,48,41,5,47,27,26,490,,7/6/2020 6:09,1,0,15,15,0,0,1.19,14
811,base,interview,7/6/2020 6:01,1,2,1,1,1,26,7.75,4,2,5,,6,Depok,2,3,1,4,2,2,2,2,2,2,1,1,1,1,4,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,7,7,1,1,1,4,5,5,5,5,5,19,11,68,15,37,18,,13,30,32,5,134,30,20,432,,7/6/2020 6:08,1,0,15,15,0,0,1.43,23
827,base,interview,7/6/2020 6:51,1,2,1,1,2,21,7,2,6,2,,6,Sukabumi ,1,5,3,2,6,4,4,4,5,5,2,2,2,6,4,4,6,4,6,4,3,2,3,3,1,1,1,1,1,1,1,6,6,1,1,1,4,3,2,3,3,3,39,15,84,10,43,5,,7,36,29,11,106,41,11,437,,7/6/2020 6:58,1,0,15,15,0,0,1.58,38
829,base,interview,7/6/2020 7:04,1,2,1,1,2,22,15,4,2,16,,2,,3,1,6,4,2,1,1,1,1,1,1,1,1,1,5,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,2,-1,-1,4,5,4,5,2,2,23,11,91,,64,,28,18,39,40,7,101,41,28,491,,7/6/2020 7:12,1,0,15,15,0,0,1.09,7
839,base,interview,7/6/2020 7:19,1,2,1,1,2,27,3,5,1,1,,6,Banten,1,5,6,6,-1,-1,2,-1,-1,-1,-1,-1,-1,1,-1,-1,4,4,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,7,7,4,1,-1,4,3,3,3,3,3,23,12,106,19,51,,6,9,68,47,33,89,30,19,512,,7/6/2020 7:27,1,0,15,15,0,0,1.27,25
840,base,interview,7/6/2020 7:21,1,2,1,1,1,26,4,2,3,2,,2,,2,4,2,2,1,5,4,4,6,4,5,4,4,4,5,5,7,3,4,3,1,3,2,2,2,2,2,2,2,2,2,6,6,3,-1,1,4,2,2,4,1,3,24,9,47,,41,19,,14,34,33,6,68,15,21,331,,7/6/2020 7:26,1,0,15,15,0,0,1.49,25
843,base,interview,7/6/2020 7:25,1,2,1,1,1,27,70,5,3,1,,6,Pacitan,3,5,7,7,7,7,7,7,7,7,7,3,3,7,3,7,7,7,3,1,1,1,2,7,2,4,2,2,1,4,4,7,7,4,1,-1,4,3,4,4,1,5,26,10,46,12,45,,12,8,30,27,6,57,16,18,313,,7/6/2020 7:30,1,0,15,15,0,0,1.77,39
845,base,interview,7/6/2020 7:31,1,2,1,1,1,25,5,4,2,1,,6,Pasuruan,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,1,1,1,7,7,2,-1,-1,4,5,5,5,5,4,18,11,41,,19,,6,5,23,23,7,45,12,12,222,,7/6/2020 7:35,1,0,15,15,0,0,2.25,72
850,base,interview,7/6/2020 7:38,1,2,1,1,1,24,2,4,2,11,,2,,3,1,4,2,4,6,4,3,5,7,2,2,2,1,5,6,7,1,2,1,1,1,6,4,1,1,1,2,2,3,2,7,6,1,1,1,4,3,2,5,1,3,29,12,118,61,71,61,,25,81,41,11,79,24,32,645,,7/6/2020 7:49,1,0,15,15,0,0,0.87,3
853,base,interview,7/6/2020 7:43,1,2,1,1,2,21,4,2,6,4,,1,,3,1,5,4,6,4,4,5,6,4,4,3,5,5,3,5,-1,3,3,3,1,1,2,3,2,4,2,3,3,2,2,4,4,1,1,1,4,3,2,2,4,4,193,18,111,77,162,28,,25,98,46,8,94,51,82,993,,7/6/2020 8:00,1,0,15,15,0,0,0.65,0
854,base,interview,7/6/2020 7:45,1,2,1,1,1,24,5,4,2,1,,1,,1,5,6,6,6,6,6,4,6,6,4,5,4,5,6,6,7,3,5,3,1,2,3,2,5,4,2,2,2,2,2,6,6,1,1,1,4,2,3,3,3,3,42,14,88,10,50,5,,9,51,29,8,61,20,58,445,,7/6/2020 7:52,1,0,15,15,0,0,1.45,31
857,base,interview,7/6/2020 7:49,1,2,1,1,2,21,50,2,6,16,,6,Depok,2,5,5,5,4,3,2,1,3,1,1,1,1,1,3,1,6,6,1,4,1,1,1,5,2,2,1,3,3,1,1,7,7,1,1,1,4,4,4,4,1,4,84,9,78,87,48,51,,7,55,100,13,101,32,48,713,,7/6/2020 8:01,1,0,15,15,0,0,0.9,7
860,base,interview,7/6/2020 7:51,1,2,1,1,2,23,3,4,3,1,,6,Kediri,1,5,5,4,4,4,2,3,6,4,5,2,2,6,2,6,7,5,4,3,2,1,4,2,1,4,4,3,4,1,4,4,4,2,-1,-1,4,2,2,3,2,3,18,12,128,,51,,46,17,61,55,10,135,71,54,658,,7/6/2020 8:02,1,0,15,15,0,0,0.89,5
861,base,interview,7/6/2020 7:53,1,2,1,1,2,22,4,2,6,1,,6,Salatiga,1,5,2,1,1,1,1,1,1,-1,-1,-1,-1,1,-1,-1,4,1,-1,2,-1,-1,-1,3,-1,1,-1,-1,-1,-1,-1,7,7,1,1,1,4,5,5,5,5,3,73,13,230,40,102,36,,9,86,81,17,123,143,29,982,,7/6/2020 8:10,1,0,15,15,0,0,0.7,2
862,base,interview,7/6/2020 7:58,1,2,1,1,1,56,40,4,2,1,,2,,1,1,7,7,7,7,7,7,7,7,7,6,5,7,7,5,7,7,7,7,4,4,7,7,7,7,5,7,7,7,7,3,3,2,-1,-1,4,2,2,4,1,4,50,23,99,,56,,37,21,62,59,13,124,37,38,619,,7/6/2020 8:08,1,0,15,15,0,0,0.79,0
863,base,interview,7/6/2020 7:59,1,2,1,1,2,26,10,5,2,1,,1,,1,6,3,4,3,1,2,7,3,1,4,1,1,4,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,2,-1,-1,4,3,3,3,3,3,38,9,79,,31,,12,7,38,19,10,51,23,16,333,,7/6/2020 8:05,1,0,15,15,0,0,1.64,33
865,base,interview,7/6/2020 8:00,1,2,1,1,2,23,8,4,2,16,,6,Bandar Lampung,3,6,5,4,2,4,2,1,1,3,1,2,1,1,2,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,1,7,7,4,1,-1,4,5,5,5,5,5,107,12,126,20,35,,21,9,39,35,6,65,13,30,518,,7/6/2020 8:09,1,0,15,15,0,0,1.33,20
867,base,interview,7/6/2020 8:01,1,2,1,1,1,23,1.3,2,2,1,,1,,1,1,7,4,2,2,1,2,2,1,2,1,1,3,1,1,4,1,1,1,1,1,1,4,1,2,2,1,1,1,1,7,7,2,-1,-1,4,4,4,4,4,4,143,12,142,,58,,89,14,68,43,13,167,48,1826,828,,7/6/2020 8:45,1,0,15,15,0,0,0.67,1
871,base,interview,7/6/2020 8:04,1,2,1,1,1,28,10,4,2,2,,3,,4,3,2,5,4,2,1,2,3,4,1,1,2,1,2,3,4,2,1,1,1,1,1,2,1,2,1,2,1,1,1,4,4,2,-1,-1,4,3,3,3,2,2,17,11,134,,55,,10,15,51,56,7,119,38,17,530,,7/6/2020 8:13,1,0,15,15,0,0,1.29,19
878,base,interview,7/6/2020 8:14,1,2,1,1,1,30,5,4,2,1,,1,,2,4,6,7,6,6,7,5,7,6,6,6,5,7,6,7,6,7,6,4,2,2,4,4,3,4,4,4,4,5,3,6,6,4,1,-1,4,3,4,4,3,4,49,17,130,80,82,,35,17,88,58,7,107,52,11,733,,7/6/2020 8:26,1,0,15,15,0,0,0.91,8
885,base,interview,7/6/2020 8:19,1,2,1,1,1,21,4,2,2,3,,2,,3,5,6,7,6,6,6,7,6,5,5,5,5,6,1,5,6,5,5,1,6,5,1,5,4,4,5,5,6,5,6,1,1,3,-1,1,4,3,4,3,3,4,55,12,107,,115,446,,13,114,51,8,148,49,105,799,,7/6/2020 8:40,1,0,15,15,0,0,0.68,0
892,base,interview,7/6/2020 8:32,1,2,1,1,1,20,2.5,2,6,1,,1,,1,3,3,3,2,1,1,1,3,1,1,1,1,1,4,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,4,1,-1,4,3,3,2,3,2,2524,11,65,162,45,,6,8,33,22,8,61,25,28,378,,7/6/2020 9:22,1,0,15,15,0,0,1.35,32
903,base,interview,7/6/2020 9:08,1,2,1,1,2,32,4,2,4,1,,4,,3,3,2,2,2,2,2,2,2,4,4,3,2,3,1,2,4,4,4,5,1,1,1,2,1,1,1,1,1,1,1,7,7,4,1,-1,4,4,4,4,3,4,13,12,66,8,62,,4,10,47,35,8,36,14,5,320,,7/6/2020 9:13,1,0,15,15,0,0,1.91,79
914,base,interview,7/6/2020 9:42,1,2,1,1,2,32,12,4,1,1,,6,Tangerang Selatan,1,4,6,5,5,4,2,4,4,4,4,1,1,4,1,1,6,2,2,1,7,1,1,4,1,1,1,1,1,1,1,7,7,3,-1,1,4,5,5,5,2,2,24,7,81,,33,7,,16,42,35,5,177,29,21,477,,7/6/2020 9:50,1,0,15,15,0,0,1.46,26
915,base,interview,7/6/2020 9:46,1,2,1,1,1,28,12,3,2,1,,1,,3,5,4,4,5,3,3,3,3,4,2,3,3,2,3,2,6,4,2,1,1,2,1,2,1,1,1,1,1,1,1,7,7,1,1,1,4,5,5,5,1,5,17,7,53,10,50,5,,7,32,30,5,67,43,27,353,,7/6/2020 9:52,1,0,15,15,0,0,1.77,45
923,base,interview,7/6/2020 10:26,1,2,1,1,2,31,13,4,2,2,,6,Depok,1,5,6,4,3,4,2,3,2,2,1,2,3,2,1,1,6,1,1,1,1,1,1,2,1,2,1,1,2,1,1,7,7,3,-1,1,4,4,2,4,3,2,12,9,113,,44,7,,107,41,37,6,94,10,7,393,,7/6/2020 10:34,1,0,15,15,0,0,1.72,48
925,base,interview,7/6/2020 10:26,1,2,1,1,2,19,1,2,2,1,,2,,1,5,4,4,6,6,3,6,6,6,5,1,1,4,7,7,7,6,7,4,1,1,1,4,1,1,1,1,1,1,1,7,7,2,-1,-1,4,2,2,3,3,3,57,18,138,,72,,22,21,68,42,10,110,29,14,601,,7/6/2020 10:36,1,0,15,15,0,0,0.98,7
936,base,interview,7/6/2020 10:29,1,2,1,1,2,20,20,2,6,1,,6,tangerang,1,3,6,7,7,4,3,4,4,2,2,7,-1,5,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,3,-1,1,4,5,5,5,2,3,11,13,211,,115,40,,21,132,117,9,111,33,34,847,,7/6/2020 10:43,1,0,15,15,0,0,0.88,9
939,base,interview,7/6/2020 10:29,1,2,1,1,2,33,10,4,4,6,,2,,1,-1,4,2,2,2,2,3,1,3,2,1,2,2,1,6,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,3,-1,1,4,5,5,5,5,5,50,10,48,,42,11,,9,34,22,5,49,23,27,330,,7/6/2020 10:35,1,0,15,15,0,0,1.56,29
942,base,interview,7/6/2020 10:30,1,2,1,1,2,23,3,3,2,16,,6,Depok,3,5,3,4,3,3,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,7,7,2,-1,-1,4,3,3,3,2,2,17,22,160,,41,,21,8,31,197,5,147,12,28,689,,7/6/2020 10:41,1,0,15,15,0,0,1.32,24
945,base,interview,7/6/2020 10:30,1,2,1,1,1,28,10,5,2,1,,1,,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,3,-1,1,4,5,5,5,3,1,11,14,27,,29,13,,5,27,20,5,64,16,14,245,,7/6/2020 10:34,1,0,15,15,0,0,2.08,57
952,base,interview,7/6/2020 10:32,1,2,1,1,2,25,8,4,2,4,,1,,1,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,7,7,2,-1,-1,4,5,3,5,5,5,17,16,103,,45,,14,15,57,95,5,195,42,39,643,,7/6/2020 10:43,1,0,15,15,0,0,1.11,13
